reward_call_index,case_id,max_correct_reward,max_wrong_reward,mean_correct_reward,mean_wrong_reward
15,sc_1998_insc_207,0.4666666666666666,0.16057051282051282,0.4414722222222222,0.1090974358974359
15,sc_1998_insc_91,0.7749999999999998,0.31666666666666665,0.6181874999999999,0.2452767857142857
15,sc_2000_insc_449,0.4310833333333333,0.21666666666666667,0.41730341880341876,0.13798333333333335
15,sc_2004_insc_499,0.6744879679144383,0.2708269230769231,0.628980508462126,0.2156201923076923
15,sc_2010_insc_633,0.39999999999999997,0.04775000000000001,0.3985,0.03900000000000001
15,sc_2014_insc_80,0.6022954545454544,0.19775,0.5650113636363636,0.1633125
16,in_abs_train_1369,0.54775,0.13346428571428573,0.43525,0.06974107142857143
16,in_abs_train_1749,0.43775,0.16890384615384613,0.418875,0.10389423076923077
16,in_abs_train_3265,0.49774999999999997,0.14775,0.4470625,0.0720625
16,sc_1967_insc_210,0.7750227272727271,0.30999999999999994,0.6522377344877345,0.20349393939393937
16,sc_1971_insc_337,0.5499999999999999,0.30684090909090905,0.43637499999999996,0.1655852272727273
16,sc_2001_insc_550,0.54775,0.04775000000000001,0.4527953296703297,0.04775000000000001
16,sc_2001_insc_561,0.5856287878787878,0.2272371794871795,0.5179831002331001,0.18422820512820512
16,sc_2008_insc_883,0.4749999999999999,0.18108333333333335,0.45720833333333327,0.15191666666666667
16,sc_2010_insc_620,0.39999999999999997,0.05,0.39999999999999997,0.048285714285714286
16,sc_2012_insc_390,0.4666666666666666,0.11666666666666667,0.4666666666666666,0.11368055555555556
16,sc_2023_insc_1023,0.5499999999999999,0.2,0.5186499999999998,0.09925
16,sc_2024_insc_165,0.47274999999999995,0.2,0.4165,0.1306875
17,sc_1968_insc_137,0.5856287878787878,0.3144166666666666,0.4916893939393939,0.1880833333333333
17,sc_1985_insc_250,0.49774999999999997,0.10775000000000001,0.4411090909090909,0.0685
17,sc_1989_insc_170,0.45229545454545456,0.05,0.4095590909090909,0.04925000000000001
17,sc_1996_insc_215,0.39999999999999997,0.05,0.39924999999999994,0.04820000000000001
17,sc_2007_insc_1053,0.39999999999999997,0.04775000000000001,0.398125,0.04775000000000001
17,sc_2007_insc_168,0.5249999999999999,0.22275,0.45833333333333326,0.18613296703296706
17,sc_2007_insc_230,0.6144166666666666,0.27275,0.4941458333333333,0.12275000000000001
17,sc_2009_insc_427,0.55275,0.13346428571428573,0.49296174450549446,0.11036607142857142
17,sc_2015_insc_738,0.49774999999999997,0.05,0.4233125,0.04831250000000001
17,sc_2019_insc_297,0.5125,0.16774999999999998,0.467969387755102,0.16774999999999998
17,sc_2021_insc_585,0.39999999999999997,0.18275,0.39999999999999997,0.08720000000000001
17,sc_2023_insc_697,0.39775,0.05,0.39775,0.04700000000000001
18,sc_1966_insc_109,0.39775,0.10229545454545454,0.39775,0.06668181818181818
18,sc_1967_insc_299,0.5068409090909091,0.2318409090909091,0.4511590909090909,0.12160795454545456
18,sc_1968_insc_220,0.49060714285714285,0.11917857142857144,0.43224107142857143,0.08588169642857144
18,sc_1980_insc_52,0.6022142857142857,0.15346428571428572,0.4712454761904762,0.12257142857142857
18,sc_1982_insc_104,0.39999999999999997,0.10775000000000001,0.3983125,0.06331250000000001
18,sc_2005_insc_108,0.625,0.19575416666666667,0.5240999999999999,0.13041805555555555
18,sc_2007_insc_840,0.6000000000000001,0.14775,0.46046818181818183,0.09775
18,sc_2009_insc_1031,0.49774999999999997,0.05,0.41864999999999997,0.04850000000000001
18,sc_2009_insc_1089,0.39775,0.05,0.39775,0.05
18,sc_2013_insc_89,0.6334642857142856,0.13346428571428573,0.5229357142857143,0.07707142857142858
18,sc_2020_insc_249,0.39999999999999997,0.19775,0.39831249999999996,0.08525
19,in_abs_train_2039,0.55775,0.10775000000000001,0.4866499999999999,0.06775000000000002
19,in_abs_train_4981,0.5644166666666666,0.33108333333333334,0.5227499999999999,0.2253166666666667
19,in_abs_train_623,0.39999999999999997,0.14775,0.39999999999999997,0.07766666666666668
19,in_abs_train_6643,0.45775,0.20775,0.44002272727272723,0.1183125
19,sc_1970_insc_62,0.5296181318681318,0.12275,0.48854010989010976,0.07989285714285714
19,sc_1972_insc_269,0.5499999999999999,0.10775000000000001,0.42387499999999995,0.07775000000000001
19,sc_1973_insc_61,0.6477499999999999,0.33108333333333334,0.5064333333333333,0.1993080808080808
19,sc_2001_insc_119,0.39775,0.14775,0.39775,0.08320000000000001
19,sc_2003_insc_633,0.5022954545454545,0.14666666666666667,0.45010445804195803,0.1382310606060606
